name,ghs
"""48 """"B""""""",9g5
"""MANZANA47 Y 48 """"A""""""",9g5
"""MODELO """" B """"""",9g5
"""MODELO """" C """"""",9g5
"""SANTA ROSA 1a. SECCION """"COLONIA""""""",9g5
"""SANTA ROSA 2a. SECCION """"COLONIA""""""",9g5
"""Y"" GRIEGA",9
(MICROINDUSTRIA),9e
06 DE ENERO,9g5
1,9 9f 9g3 9g5 9g6 9g7 9s
1 DE MAYO,9e
1 RA. DEMARCACIÓN ORIENTE,9g9
1 RA. DEMARCACIÓN PONIENTE,9g9
1 RA. MANZANA,9g9
1 RA. SECCIÓN,9g9
1 RA. SECCIÓN NORTE,9g9
1 RA. SECCIÓN SUR,9g9
1 RO. DE MAYO,9e
10 DE ABRIL,9 9f 9g1 9g3 9g5 9g8 9gd 9u
10 DE MAYO,9 9e 9g 9g6 9g7 9g9 9s 9u
10 de Mayo,9g
10a TAPA INFONAVIT 1o.DE MAYO,9g5
11 DE ABRIL,9g9
11 DE FEBRERO,9 9g
11 DE FEBRERO SUR,9
11 DE JULIO,9s 9u
11 DE JULIO 1 RA. SECCIÓN,9g9
11 DE JULIO 2 DA. SECCIÓN,9g9
11 DE JULIO 3 RA. SECCIÓN,9g9
11 DE JUNIO,9ez
11 DE SEPTIEMBRE,9f
11 DE SEPTIEMBRE 2a SECC,9f
12 DE ABRIL,9f
12 DE DICIEMBRE,9e 9f 9fv 9g 9g7 9s
12 DE JULIO,9g5
12 DE JUNIO,9f
12 DE MARZO,9e 9g5
12 DE MAYO,9s
12 DE NOVIEMBRE,9fv 9g8
12 DE OCTUBRE,9e 9f 9g8 9u
13 DE FEBRERO,9f
13 DE JULIO,9fv
13 DE JUNIO,9f
13 DE OCTUBRE,9s
13 DE SEPTIEMBRE,9f 9g3
14 DE ENERO,9s
14 DE FEBRERO,9e 9g5 9g9 9s
14 DE MARZO,9f
14 DE SEPTIEMBRE,9f 9fv
15 DE ABRIL,9u
15 DE ENERO,9f
15 DE JULIO,9s
15 DE MAYO,9e 9fv 9g8
15 DE MAYO (TAPIAS),9s
15 DE SEPTIEMBRE,9f 9g3 9gd 9u
15 DE SEPTIEMBRE AMPLIACIÓN,9u
16 DE MARZO,9g6
16 DE MAYO,9e
16 DE SEPTIEMBRE,9e 9f 9g 9g1 9g4 9g7 9g9 9s
16 DE SEPTIEMBRE NORTE,9g6h
16 DE SEPTIEMBRE SUR,9g6h
17 DE AGOSTO,9
17 DE JULIO,9g
17 DE JUNIO,9
17 DE MAYO,9fv
17 DE OCTUBRE,9gd 9s
18 DE AGOSTO,9e
18 DE DICIEMBRE,9g8
18 DE FEBRERO,9s
18 DE JULIO,9sw
18 DE MARZO,9 9f 9fv 9g 9g5 9g7 9g8 9g9 9gd 9s
18 DE OCTUBRE,9f 9u
19 DE JULIO,9s
19 DE SEPTIEMBRE,9e
1910,9g8
1A AMPLIACION SANTA CRUZ XOXOCOTLAN,9g5
1A SECCIÓN SAN PABLO ETLA,9g5
1O. DE MAYO,9fv
1RA,9f
1RA.,9f 9g5
1RA. DEL RANCHO,9s
1RA. SECCIÓN,9f 9g5
1RO.,9f
1RO. DE MAYO,9 9f 9s
1a ETAPA INFONAVIT 1o. DE MAYO,9g5
1a ETAPA IVO FRACC EL RETIRO,9g5
1a SECCION DEL CASCO DE SAN ANTONIO DE LA CAL,9g5
1a SECCION SANTA MARIA ATZOMPA,9g5
1a. SECCIÓN,9g5
1er. CONGRESO DE ANAHUAC,9g1
1o. DE ENERO,9f
1o. DE MAYO,9f 9g 9g7 9gd
1ra Sección,9g6
1ra.,9f
1° DE MAYO,9s
2,9 9g3 9g5 9g6 9g7 9s
2 DA. DEMARCACIÓN,9g9
2 DA. SECCIÓN,9g9
2 DA. SECCIÓN NORTE,9g9
2 DA. SECCIÓN SUR,9g9
2 DE ABRIL,9g5 9g7 9g9 9u
2 DE AGOSTO,9 9e
2 DE DICIEMBRE,9f
2 DE ENERO,9g7 9gd
2 DE FEBRERO,9fv
2 DE MARZO,9f
2 DE MAYO,9g 9g3
2 DE OCTUBRE,9f 9u
2 ROBINSON,9
2 da. DE TABACHINES,9g8
20 ANIVERSARIO,9
20 DE ENERO,9s
20 DE JUNIO,9g7
20 DE NOVIEMBRE,9 9e 9f 9fv 9g 9g1 9g5 9g6 9g7 9g8 9g9 9gd 9s 9sw 9u
20 DE NOVIEMBRE (CONJUNTO),9g6h
20 DE NOVIEMBRE AMPLIACIÓN,9s
20 DE NOVIEMBRE II,9s
20 ORIENTE,9g6h
2000,9gd
21 DE ABRIL,9g7
21 DE JULIO,9g9
21 DE MARZO,9fv 9g1 9g5 9g6 9g7 9s
21 DE MAYO,9u
21 DE NOVIEMBRE,9g5
21 DE SEPTIEMBRE,9fv
22 DE NOVIEMBRE,9e 9gd 9s
22 DE SEPTIEMBRE,9 9g6h 9g7 9s
23 DE MARZO,9g7
23 DE NOVIEMBRE,9g 9g5 9gd 9s 9u
23 DE NOVIEMBRE AMPLIACIÓN,9u
23 DE NOVIEMBRE DE LA ARMADA DE MÉXICO,9f
24 DE ABRIL,9e
24 DE DICIEMBRE,9e 9f 9g8
24 DE FEBRERO,9e 9f 9g1 9g3 9g6
24 DE JUNIO,9 9f 9fv
24 DE MAYO,9fv
24 DE OCTUBRE,9g
25 DE ABRIL,9e 9gd
25 DE ENERO,9g5 9gd
26 DE ABRIL,9g8
26 DE JULIO,9f
26 DE MARZO,9g7 9s
26 DE MARZO 2DO. SECTOR,9u
26 DE MARZO 3ER. SECTOR,9u
26 DE MARZO 4TO. SECTOR,9u
26 DE MARZO AMPLIACIÓN,9s 9u
26 DE MAYO,9g5
26 DE OCTUBRE,9
26 DE SEPTIEMBRE,9e
27 DE FEBRERO,9fv 9g 9u
27 DE JUNIO,9f
27 DE MAYO,9g6
27 DE SEPTIEMBRE,9ez 9g8 9gd
28 DE ABRIL,9ez
28 DE AGOSTO,9f 9g6 9g7
28 DE NOVIEMBRE,9gd
2A AMPLIACION DE SANTA CRUZ XOXOCOTLAN,9g5
2A ECC. DE LOS TRABAJADORES,9f
2A SECCION SAN PABLO ETLA,9g5
2A. DE SAN CARLOS,9g8
2A. SECCIÓN CONSTITUYENTES,9g6
2DA,9f
2DA.,9f
2DA. AMPLIACIÓN KALÁ I,9g
2DA. AVIACION,9g4
2DA. DEL RANCHO,9s
2DA. SECCIÓN,9f 9g5
2DO.,9f
2a ETAPA INFONAVIT 1o. DE MAYO,9g5
2a ETAPA IVO FRACC EL RETIRO,9g5
